Source Name	Protocol REF	Sample Name	Characteristics[Machine]	Characteristics[Cutting insert]	Characteristics[Workpiece length]	Unit	Characteristics[Workpiece width]	Unit	Characteristics[Workpiece depth]	Unit	Factor Value[Time]	Factor Value[Cutting speed]	Factor Value[Depth of Cut]	Factor Value[Feed]	Factor Value[Material]	Factor Value[VB]
NASA laboratory	Experiment preparation	Specimen-0	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\time\Case_11_time_run_01.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\CS\Case_11_time_run_01.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\DOC\Case_11_time_run_01.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\feed\Case_11_time_run_01.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\material\Case_11_time_run_01.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Condition\VB\Case_11_time_run_01.csv
NASA laboratory	Experiment preparation	Specimen-20	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\time\Case_11_time_run_21.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\CS\Case_11_time_run_21.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\DOC\Case_11_time_run_21.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\feed\Case_11_time_run_21.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\material\Case_11_time_run_21.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Condition\VB\Case_11_time_run_21.csv
NASA laboratory	Experiment preparation	Specimen-19	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\time\Case_11_time_run_20.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\CS\Case_11_time_run_20.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\DOC\Case_11_time_run_20.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\feed\Case_11_time_run_20.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\material\Case_11_time_run_20.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Condition\VB\Case_11_time_run_20.csv
NASA laboratory	Experiment preparation	Specimen-18	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\time\Case_11_time_run_19.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\CS\Case_11_time_run_19.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\DOC\Case_11_time_run_19.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\feed\Case_11_time_run_19.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\material\Case_11_time_run_19.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Condition\VB\Case_11_time_run_19.csv
NASA laboratory	Experiment preparation	Specimen-17	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\time\Case_11_time_run_18.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\CS\Case_11_time_run_18.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\DOC\Case_11_time_run_18.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\feed\Case_11_time_run_18.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\material\Case_11_time_run_18.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Condition\VB\Case_11_time_run_18.csv
NASA laboratory	Experiment preparation	Specimen-16	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\time\Case_11_time_run_17.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\CS\Case_11_time_run_17.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\DOC\Case_11_time_run_17.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\feed\Case_11_time_run_17.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\material\Case_11_time_run_17.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Condition\VB\Case_11_time_run_17.csv
NASA laboratory	Experiment preparation	Specimen-15	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\time\Case_11_time_run_16.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\CS\Case_11_time_run_16.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\DOC\Case_11_time_run_16.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\feed\Case_11_time_run_16.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\material\Case_11_time_run_16.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Condition\VB\Case_11_time_run_16.csv
NASA laboratory	Experiment preparation	Specimen-14	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\time\Case_11_time_run_15.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\CS\Case_11_time_run_15.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\DOC\Case_11_time_run_15.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\feed\Case_11_time_run_15.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\material\Case_11_time_run_15.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Condition\VB\Case_11_time_run_15.csv
NASA laboratory	Experiment preparation	Specimen-13	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\time\Case_11_time_run_14.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\CS\Case_11_time_run_14.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\DOC\Case_11_time_run_14.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\feed\Case_11_time_run_14.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\material\Case_11_time_run_14.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Condition\VB\Case_11_time_run_14.csv
NASA laboratory	Experiment preparation	Specimen-12	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\time\Case_11_time_run_13.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\CS\Case_11_time_run_13.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\DOC\Case_11_time_run_13.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\feed\Case_11_time_run_13.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Settings\material\Case_11_time_run_13.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_11\Condition\VB\Case_11_time_run_13.csv
