Source Name	Protocol REF	Sample Name	Characteristics[Machine]	Characteristics[Cutting insert]	Characteristics[Workpiece length]	Unit	Characteristics[Workpiece width]	Unit	Characteristics[Workpiece depth]	Unit	Factor Value[Time]	Factor Value[Cutting speed]	Factor Value[Depth of Cut]	Factor Value[Feed]	Factor Value[Material]	Factor Value[VB]
NASA laboratory	Experiment preparation	Specimen-0	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\time\Case_03_time_run_01.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\CS\Case_03_time_run_01.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\DOC\Case_03_time_run_01.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\feed\Case_03_time_run_01.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\material\Case_03_time_run_01.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Condition\VB\Case_03_time_run_01.csv
NASA laboratory	Experiment preparation	Specimen-1	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\time\Case_03_time_run_02.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\CS\Case_03_time_run_02.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\DOC\Case_03_time_run_02.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\feed\Case_03_time_run_02.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\material\Case_03_time_run_02.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Condition\VB\Case_03_time_run_02.csv
NASA laboratory	Experiment preparation	Specimen-2	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\time\Case_03_time_run_03.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\CS\Case_03_time_run_03.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\DOC\Case_03_time_run_03.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\feed\Case_03_time_run_03.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\material\Case_03_time_run_03.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Condition\VB\Case_03_time_run_03.csv
NASA laboratory	Experiment preparation	Specimen-3	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\time\Case_03_time_run_04.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\CS\Case_03_time_run_04.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\DOC\Case_03_time_run_04.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\feed\Case_03_time_run_04.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\material\Case_03_time_run_04.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Condition\VB\Case_03_time_run_04.csv
NASA laboratory	Experiment preparation	Specimen-4	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\time\Case_03_time_run_05.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\CS\Case_03_time_run_05.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\DOC\Case_03_time_run_05.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\feed\Case_03_time_run_05.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\material\Case_03_time_run_05.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Condition\VB\Case_03_time_run_05.csv
NASA laboratory	Experiment preparation	Specimen-5	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\time\Case_03_time_run_06.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\CS\Case_03_time_run_06.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\DOC\Case_03_time_run_06.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\feed\Case_03_time_run_06.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\material\Case_03_time_run_06.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Condition\VB\Case_03_time_run_06.csv
NASA laboratory	Experiment preparation	Specimen-6	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\time\Case_03_time_run_07.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\CS\Case_03_time_run_07.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\DOC\Case_03_time_run_07.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\feed\Case_03_time_run_07.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\material\Case_03_time_run_07.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Condition\VB\Case_03_time_run_07.csv
NASA laboratory	Experiment preparation	Specimen-7	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\time\Case_03_time_run_08.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\CS\Case_03_time_run_08.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\DOC\Case_03_time_run_08.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\feed\Case_03_time_run_08.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\material\Case_03_time_run_08.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Condition\VB\Case_03_time_run_08.csv
NASA laboratory	Experiment preparation	Specimen-8	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\time\Case_03_time_run_09.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\CS\Case_03_time_run_09.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\DOC\Case_03_time_run_09.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\feed\Case_03_time_run_09.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\material\Case_03_time_run_09.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Condition\VB\Case_03_time_run_09.csv
NASA laboratory	Experiment preparation	Specimen-9	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\time\Case_03_time_run_10.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\CS\Case_03_time_run_10.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\DOC\Case_03_time_run_10.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\feed\Case_03_time_run_10.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\material\Case_03_time_run_10.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Condition\VB\Case_03_time_run_10.csv
NASA laboratory	Experiment preparation	Specimen-10	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\time\Case_03_time_run_11.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\CS\Case_03_time_run_11.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\DOC\Case_03_time_run_11.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\feed\Case_03_time_run_11.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\material\Case_03_time_run_11.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Condition\VB\Case_03_time_run_11.csv
NASA laboratory	Experiment preparation	Specimen-11	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\time\Case_03_time_run_12.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\CS\Case_03_time_run_12.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\DOC\Case_03_time_run_12.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\feed\Case_03_time_run_12.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\material\Case_03_time_run_12.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Condition\VB\Case_03_time_run_12.csv
NASA laboratory	Experiment preparation	Specimen-12	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\time\Case_03_time_run_13.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\CS\Case_03_time_run_13.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\DOC\Case_03_time_run_13.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\feed\Case_03_time_run_13.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\material\Case_03_time_run_13.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Condition\VB\Case_03_time_run_13.csv
NASA laboratory	Experiment preparation	Specimen-13	Matsuura machining center MC-510V	KC710	483	mm	178	mm	51	mm	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\time\Case_03_time_run_14.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\CS\Case_03_time_run_14.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\DOC\Case_03_time_run_14.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\feed\Case_03_time_run_14.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Settings\material\Case_03_time_run_14.csv	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_03\Condition\VB\Case_03_time_run_14.csv
