Sample Name	Protocol REF	Parameter Value[Current converter]	Parameter Value[Power supply]	Parameter Value[Power supply output]	Unit	Parameter Value[Current type]	Protocol REF	Processed Data File
Specimen-0	Current Measurement	OMRON K3TB-A1015	HP6237 triple output	15	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DC	Current Processing	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_01\Sensor\smcDC\Case_01_time_run_01.csv
Specimen-1	Current Measurement	OMRON K3TB-A1015	HP6237 triple output	15	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DC	Current Processing	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_01\Sensor\smcDC\Case_01_time_run_02.csv
Specimen-10	Current Measurement	OMRON K3TB-A1015	HP6237 triple output	15	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DC	Current Processing	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_01\Sensor\smcDC\Case_01_time_run_11.csv
Specimen-11	Current Measurement	OMRON K3TB-A1015	HP6237 triple output	15	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DC	Current Processing	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_01\Sensor\smcDC\Case_01_time_run_12.csv
Specimen-12	Current Measurement	OMRON K3TB-A1015	HP6237 triple output	15	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DC	Current Processing	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_01\Sensor\smcDC\Case_01_time_run_13.csv
Specimen-13	Current Measurement	OMRON K3TB-A1015	HP6237 triple output	15	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DC	Current Processing	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_01\Sensor\smcDC\Case_01_time_run_14.csv
Specimen-14	Current Measurement	OMRON K3TB-A1015	HP6237 triple output	15	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DC	Current Processing	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_01\Sensor\smcDC\Case_01_time_run_15.csv
Specimen-15	Current Measurement	OMRON K3TB-A1015	HP6237 triple output	15	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DC	Current Processing	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_01\Sensor\smcDC\Case_01_time_run_16.csv
Specimen-16	Current Measurement	OMRON K3TB-A1015	HP6237 triple output	15	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DC	Current Processing	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_01\Sensor\smcDC\Case_01_time_run_17.csv
Specimen-2	Current Measurement	OMRON K3TB-A1015	HP6237 triple output	15	"OntologyAnnotation(
	term=V
	term_source=None
	term_accession=
	comments=0 Comment objects
)"	DC	Current Processing	D:\DPL\ISA3\Example Implementations\NASA Tool Wear\01) N_studies_with_1_assay_each\Data_mill\Case_01\Sensor\smcDC\Case_01_time_run_03.csv
